payment_credit_ratio,EXT_SOURCE_2,EXT_SOURCE_1,EXT_SOURCE_3,DAYS_BIRTH,AMT_ANNUITY,ORGANIZATION_TYPE,previous_approved_cnt_payment_mean,DAYS_EMPLOYED,DAYS_ID_PUBLISH,annuity_income_ratio,previous_cnt_payment_mean,bureau_active_days_credit_max,installment_days_past_due_mean,AMT_CREDIT,installment_amt_payment_sum,income_credit_ratio,bureau_days_credit_max,DAYS_REGISTRATION,bureau_closed_days_credit_max,AMT_GOODS_PRICE,CODE_GENDER,bureau_active_days_credit_enddate_min,installment_days_before_due_sum,installment_days_entry_payment_max,pos_months_balance_size,installment_payment_difference_mean,credit_card_cnt_drawings_atm_current_mean,employment_birth_ratio,previous_days_decision_mean,bureau_active_amt_credit_sum_sum,OCCUPATION_TYPE,installment_days_before_due_max,installment_days_entry_payment_mean,previous_application_credit_ratio_mean,previous_approved_days_decision_max,NAME_FAMILY_STATUS,bureau_closed_days_credit_update_mean,bureau_days_credit_enddate_max,previous_approved_cnt_payment_sum,bureau_active_amt_credit_max_overdue_mean,bureau_amt_credit_max_overdue_mean,installment_amt_instalment_sum,installment_days_entry_payment_sum,pos_sk_dpd_def_mean,NAME_EDUCATION_TYPE,bureau_amt_credit_sum_sum,installment_amt_instalment_max,bureau_active_amt_credit_sum_mean,bureau_active_days_credit_update_mean
0.05145065075921909,0.4127344161068856,0.3457171951791896,0.6397075677637197,-13280,17077.5,Self-employed,9.0,-280.0,-4880,0.253,9.333333333333334,-1116.0,0.0,331920.0,241169.175,0.20336225596529284,-775.0,-3471.0,-775.0,225000.0,F,-957.0,103.0,-614.0,11.0,0.0,,0.02108433734939759,-819.0,562500.0,Sales staff,21.0,-802.625,0.9681585393008239,-656.0,Married,-153.0,1051.0,18.0,,,241169.175,-6421.0,0.0,Secondary / secondary special,702000.0,122976.45,187500.0,-927.0
0.04922,0.4530704545682325,,0.2431864804420123,-8438,11074.5,Business Entity Type 3,8.666666666666666,-809.0,-838,0.08203333333333333,7.5,-223.0,1.2413793103448276,225000.0,219229.425,0.6,-223.0,-3232.0,,225000.0,M,1108.0,263.0,-12.0,26.0,1364.1610344827586,,0.0958757999525954,-376.5,67500.0,Laborers,26.0,-228.13793103448276,0.9666466185412814,-164.0,Married,,27468.0,26.0,0.0,0.0,258790.095,-6616.0,0.038461538461538464,Secondary / secondary special,67500.0,11030.625,22500.0,-400.3333333333333
0.0288738807102747,0.5746638509651143,,0.180887977767074,-22532,17122.5,XNA,20.75,,-4226,0.06341666666666666,19.0,-51.0,0.4158415841584158,593010.0,865459.35,0.45530429503718317,-51.0,-10231.0,-571.0,495000.0,F,-1650.0,508.0,-23.0,58.0,892.0020297029703,0.6666666666666666,,-786.2,1186723.4849999999,__MISSING__,32.0,-439.990099009901,0.7737011385575612,-631.0,Widow,-575.75,894.0,83.0,949.0500000000001,632.7,955551.555,-44439.0,0.06896551724137931,Secondary / secondary special,2363417.5949999997,111334.365,148340.43562499998,-31.875
0.03226,0.6229959372837893,,0.3328505641648731,-16758,36292.5,Restaurant,24.0,-1093.0,-290,0.05760714285714286,15.0,-113.0,0.0,1125000.0,410899.32,0.56,-113.0,-80.0,-334.0,1125000.0,M,7192.0,320.0,-172.0,20.0,0.0,,0.06522258026017425,-663.0,18000000.0,Core staff,31.0,-433.8421052631579,0.9243900010498312,-720.0,Married,-409.6666666666667,7192.0,24.0,,0.0,410899.32,-8243.0,0.0,Secondary / secondary special,21320280.0,101485.8,18000000.0,-3.0
0.03722674418604651,0.5128407971420282,0.3698333717571991,0.221335206354466,-11214,28813.5,Business Entity Type 3,,-831.0,-626,0.160075,,-382.0,,774000.0,,0.23255813953488372,-382.0,-615.0,-468.0,774000.0,M,963.0,,,,,,0.07410379882289994,,832500.0,High skill tech staff,,,,,Single / not married,-435.0,1444.0,,,,,,,Higher education,904680.0,,416250.0,-14.0
0.0660126582278481,0.2440078209202131,,0.2721336844147212,-10213,9387.0,Transport: type 4,24.0,-2189.0,-2097,0.08344,24.0,-292.0,0.0,142200.0,233355.73500000002,0.7911392405063291,-292.0,-4426.0,-1052.0,112500.0,F,-334.0,247.0,-39.0,24.0,0.0,,0.21433467149711152,-453.0,288000.0,Laborers,24.0,-382.2916666666667,1.0,-748.0,Married,-715.0,800.0,24.0,0.0,2400.0,233355.73500000002,-9175.0,0.0,Secondary / secondary special,342189.72,9734.895,96000.0,-394.3333333333333
0.05,0.7838283816775964,,0.6785676886853644,-22488,38250.0,Business Entity Type 3,21.0,-6928.0,-4074,0.14912280701754385,21.0,-2126.0,0.5165562913907285,765000.0,1706210.3699999999,0.3352941176470588,-398.0,-12499.0,-398.0,765000.0,F,8831.0,909.0,-25.0,17.0,762.7163245033112,0.13541666666666666,0.3080754180007115,-429.5,290250.0,Accountants,56.0,-1442.450331125828,0.9127296655575157,-257.0,Married,-522.0,8831.0,42.0,19602.0,32359.5,1821380.535,-217810.0,0.29411764705882354,Lower secondary,3939750.0,727186.455,290250.0,-31.0
0.03902970297029703,0.142870887589952,,,-12178,17739.0,Self-employed,18.0,-931.0,-4449,0.3942,18.0,,0.0,454500.0,115225.10999999999,0.09900990099009901,,-2948.0,,454500.0,F,,217.0,-34.0,13.0,0.0,,0.07644933486615207,-408.0,,Sales staff,27.0,-208.69230769230768,0.8632596685082873,-408.0,Married,,,18.0,,,115225.10999999999,-2713.0,0.0,Secondary / secondary special,,8863.47,,
0.042535681399631674,0.5404883358234642,0.3525525968873448,,-22634,33259.5,XNA,6.0,,-4192,0.1137076923076923,6.0,,0.0,781920.0,130719.24,0.3740791896869245,,-9895.0,,675000.0,F,,155.0,-1037.0,7.0,0.0,,,-1191.0,,__MISSING__,29.0,-1110.8333333333333,0.9498525073746312,-1191.0,Married,,,6.0,,,130719.24,-6665.0,0.0,Secondary / secondary special,,21792.825,,
0.02939539755802154,0.6572714882743836,0.8739117028635383,0.4031416766587513,-23476,24246.0,XNA,33.8,,-4466,0.15394285714285713,33.8,-62.0,0.36538461538461536,824823.0,4023964.08,0.1909500583761607,-62.0,-3955.0,-1137.0,688500.0,F,-2086.0,541.0,-35.0,101.0,-1443.4096153846147,,,-849.6666666666666,540000.0,__MISSING__,31.0,-940.5384615384615,0.9269491830225952,-121.0,Married,-1405.5714285714287,614.0,338.0,,0.0,3873849.48,-97816.0,0.0,Higher education,1027965.3300000001,589260.87,180000.0,-709.6666666666666
0.07018,0.3420278293317465,,,-24101,15790.5,XNA,20.0,,-4264,0.18468421052631578,20.0,,0.11428571428571428,225000.0,385245.0,0.38,-1239.0,-14240.0,-1239.0,225000.0,F,,325.0,-20.0,37.0,393.3,,,-391.6666666666667,,__MISSING__,27.0,-355.77142857142854,0.9793621013133208,-259.0,Civil marriage,-1179.0,-924.0,60.0,,,399010.5,-12452.0,0.02702702702702703,Lower secondary,160551.0,13765.5,,
0.051126206649982124,0.7081894379461231,0.3064970323862092,0.3740208032583212,-9664,38610.0,Business Entity Type 3,8.666666666666666,-817.0,-2332,0.143,8.666666666666666,-421.0,0.4375,755190.0,983453.0399999999,0.3575259206292456,-421.0,-4442.0,,675000.0,M,916.0,248.0,-421.0,17.0,1767.42,,0.08454056291390728,-690.25,1350000.0,High skill tech staff,31.0,-815.3125,0.9762787045123563,-451.0,Married,,1010.0,26.0,,,1011731.76,-13045.0,0.0,Incomplete higher,1350000.0,827746.65,675000.0,-37.0
0.0679007933671646,0.344477840791565,0.4236371568552991,,-10366,34200.0,Self-employed,,-321.0,-2325,0.304,,,0.0,503676.0,7332.075,0.2233578729183046,,-610.0,,382500.0,F,,35.0,-2915.0,8.0,0.0,,0.030966621647694384,,,Sales staff,25.0,-2922.5,,,Married,,,,,,7332.075,-5845.0,0.0,Higher education,,3668.58,,
0.11329778370271622,0.1173011930750817,0.503867818783453,0.190705947811054,-8544,30595.5,XNA,12.0,,-1223,0.12361818181818182,12.0,-64.0,0.0,270045.0,120627.855,0.9165139143476088,-64.0,-8507.0,,256500.0,F,117.0,291.0,-159.0,10.0,0.0,,,-417.0,1805135.9849999999,__MISSING__,57.0,-297.3333333333333,1.0050247047985932,-417.0,Married,,1595.0,12.0,0.0,0.0,120627.855,-2676.0,0.0,Higher education,1805135.9849999999,39424.455,902567.9924999999,-11.5
0.049013755687320096,0.4093357995240928,0.3210574701825198,0.3589512285783967,-13987,16627.5,Business Entity Type 3,36.0,-778.0,-3510,0.1478,36.0,-222.0,2.4,339241.5,1650492.8099999998,0.3316221629723958,-222.0,-203.0,,238500.0,F,7083.0,320.0,-223.0,24.0,3537.2628000000004,,0.05562307857296061,-439.0,10350000.0,Sales staff,30.0,-371.2,0.9512205639534773,-341.0,Married,,7083.0,108.0,,,1738924.38,-9280.0,0.0,Secondary / secondary special,10350000.0,781877.07,10350000.0,-6.0
